===== AMBIENT SAMPLE: .\data\external\road\road\signal_extractions\ambient\ambient_dyno_drive_basic_long.csv =====
Label,Time,ID,Signal_1_of_ID,Signal_2_of_ID,Signal_3_of_ID,Signal_4_of_ID,Signal_5_of_ID,Signal_6_of_ID,Signal_7_of_ID,Signal_8_of_ID,Signal_9_of_ID,Signal_10_of_ID,Signal_11_of_ID,Signal_12_of_ID,Signal_13_of_ID,Signal_14_of_ID,Signal_15_of_ID,Signal_16_of_ID,Signal_17_of_ID,Signal_18_of_ID,Signal_19_of_ID,Signal_20_of_ID,Signal_21_of_ID,Signal_22_of_ID
0,0.0,244,1,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,
0,9.5367431640625e-07,813,0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,0.0010199546813964844,1694,2,126.0,127.0,0.0,170.0,1.0,,,,,,,,,,,,,,,,
0,0.0010209083557128906,293,0,0.0,256.0,262.0,1.0,-13.0,12.0,,,,,,,,,,,,,,,
0,0.002917051315307617,737,0,1.0,,,,,,,,,,,,,,,,,,,,
0,0.003937959671020508,852,32765,0.0,118.0,13.0,,,,,,,,,,,,,,,,,,
0,0.003938913345336914,1505,511,2.0,3.0,1.0,0.0,32768.0,,,,,,,,,,,,,,,,
0,0.003940105438232422,1760,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
0,0.003941059112548828,354,0,32768.0,501.0,500.0,0.0,1.0,-2.0,,,,,,,,,,,,,,,

===== ATTACK SAMPLE: .\data\external\road\road\signal_extractions\attacks\correlated_signal_attack_1_masquerade.csv =====
Label,Time,ID,Signal_1_of_ID,Signal_2_of_ID,Signal_3_of_ID,Signal_4_of_ID,Signal_5_of_ID,Signal_6_of_ID,Signal_7_of_ID,Signal_8_of_ID,Signal_9_of_ID,Signal_10_of_ID,Signal_11_of_ID,Signal_12_of_ID,Signal_13_of_ID,Signal_14_of_ID,Signal_15_of_ID,Signal_16_of_ID,Signal_17_of_ID,Signal_18_of_ID,Signal_19_of_ID,Signal_20_of_ID,Signal_21_of_ID,Signal_22_of_ID
0,0.0,852,32808,0.0,78.0,9.0,,,,,,,,,,,,,,,,,,
0,0.0010199546813964844,1505,510,2.0,3.0,1.0,0.0,32846.0,,,,,,,,,,,,,,,,
0,0.0010210275650024414,651,0,0.0,,,,,,,,,,,,,,,,,,,,
0,0.0010230541229248047,167,0,0.0,0.0,0.0,500.0,0.0,589.0,736.0,0.0,,,,,,,,,,,,,
0,0.001024007797241211,208,9,631.0,0.0,0.0,2.0,496.0,0.0,,,,,,,,,,,,,,,
0,0.0020170211791992188,51,0,-45.0,0.0,3.0,9.0,32.0,125.0,,,,,,,,,,,,,,,
0,0.002017974853515625,61,0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
0,0.0030339956283569336,293,0,0.0,260.0,256.0,1.0,-14.0,15.0,,,,,,,,,,,,,,,
0,0.005823969841003418,14,74,1.0,15165.0,,,,,,,,,,,,,,,,,,,
